,playerId,RAPM__Off,RAPM__Def,RAPM,RAPM_Rank,RAPM__Off_Rank,RAPM__Def_Rank,RAPM__intercept
0,Aaron Henry,-0.0555,0.0,-0.06,51.0,46.0,31.5,-0.03
1,Aaron Nesmith,0.0,0.0373,0.04,20.0,33.0,11.0,-0.03
2,Al Horford,0.0629,-0.0396,0.02,28.0,8.0,50.0,-0.03
3,Andre Drummond,0.035,0.0546,0.09,6.0,16.0,6.0,-0.03
4,Blake Griffin,-0.001,-0.0469,-0.05,50.0,61.0,45.0,-0.03
5,Bruce Brown,0.0228,0.0,0.02,29.0,21.0,31.5,-0.03
6,Bruno Fernando,0.0,0.0447,0.04,17.0,33.0,9.0,-0.03
7,Cam Thomas,-0.1356,-0.0472,-0.18,62.0,39.0,44.0,-0.03
8,Charles Bassey,0.0877,0.0,0.09,7.0,5.0,31.5,-0.03
9,Chris Boucher,0.0288,0.0884,0.12,3.0,20.0,2.0,-0.03
10,Dalano Banton,0.0368,0.0,0.04,21.0,15.0,31.5,-0.03
11,Danny Green,0.0507,-0.022,0.03,26.0,11.0,55.0,-0.03
12,David Duke Jr.,0.0,0.0674,0.07,9.0,33.0,4.0,-0.03
13,Day'Ron Sharpe,-0.1324,-0.0312,-0.16,60.0,40.5,52.0,-0.03
14,DeAndre' Bembry,0.0932,0.0,0.09,5.0,3.0,31.5,-0.03
15,Dennis Schroder,0.0,0.0262,0.03,27.0,33.0,13.0,-0.03
16,Enes Freedom,-0.032,-0.0791,-0.11,56.0,53.0,41.0,-0.03
17,Fred VanVleet,0.033,0.0119,0.04,16.0,17.0,21.0,-0.03
18,Furkan Korkmaz,0.0887,-0.0406,0.05,14.0,4.0,49.0,-0.03
19,Gary Trent Jr.,0.0388,0.0257,0.06,10.0,14.0,14.0,-0.03
20,Georges Niang,0.045,0.0161,0.06,11.0,13.0,18.0,-0.03
21,Goran Dragic,-0.1093,0.0,-0.11,55.0,42.0,31.5,-0.03
22,Grant Williams,-0.0674,0.0045,-0.06,53.0,44.0,24.0,-0.03
23,Isaac Bonga,0.0173,-0.0465,-0.03,44.0,24.0,46.0,-0.03
24,Isaiah Joe,0.0112,0.0205,0.03,23.0,28.0,15.0,-0.03
25,Jabari Parker,0.0,-0.0437,-0.04,48.0,33.0,47.0,-0.03
26,James Harden,0.0215,0.0,0.02,31.0,23.0,31.5,-0.03
27,James Johnson,0.0953,0.0,0.1,4.0,2.0,31.5,-0.03
28,Jaylen Brown,0.0455,0.012,0.06,12.0,12.0,20.0,-0.03
29,Jayson Tatum,0.0217,0.0098,0.03,24.0,22.0,22.0,-0.03
30,Jevon Carter,0.0325,0.0,0.03,22.0,18.0,31.5,-0.03
31,Joe Harris,0.0294,0.0,0.03,25.0,19.0,31.5,-0.03
32,Joel Embiid,-0.0851,0.0515,-0.03,45.0,43.0,8.0,-0.03
33,Josh Richardson,0.0155,-0.0322,-0.02,39.0,25.0,51.0,-0.03
34,Juancho Hernangomez,0.0,-0.1159,-0.12,57.0,33.0,39.0,-0.03
35,Justin Champagnie,-0.0131,-0.0614,-0.07,54.0,56.0,43.0,-0.03
36,Kessler Edwards,-0.1324,0.0152,-0.12,58.0,40.5,19.0,-0.03
37,Kevin Durant,0.0569,-0.002,0.05,13.0,9.0,61.0,-0.03
38,Khem Birch,0.1282,0.0,0.13,1.0,1.0,31.5,-0.03
39,LaMarcus Aldridge,-0.0128,0.0,-0.01,37.0,57.0,31.5,-0.03
40,Langston Galloway,0.0,0.0428,0.04,18.0,33.0,10.0,-0.03
41,Malachi Flynn,-0.0298,0.0516,0.02,30.0,54.0,7.0,-0.03
42,Marcus Smart,-0.0295,-0.0307,-0.06,52.0,55.0,53.0,-0.03
43,Matisse Thybulle,-0.0009,-0.0431,-0.04,49.0,62.0,48.0,-0.03
44,Myles Powell,-0.0033,0.0,-0.0,36.0,59.0,31.5,-0.03
45,Nic Claxton,-0.1645,-0.0053,-0.17,61.0,38.0,59.0,-0.03
46,O.G. Anunoby,-0.0356,0.0177,-0.02,41.0,51.0,17.0,-0.03
47,Pascal Siakam,0.0137,-0.003,0.01,33.0,26.0,60.0,-0.03
48,Patty Mills,-0.0557,0.0283,-0.03,43.0,45.0,12.0,-0.03
49,Paul Millsap,-0.0407,0.0,-0.04,47.0,49.0,31.5,-0.03
50,Paul Reed,0.0,0.121,0.12,2.0,33.0,1.0,-0.03
51,Payton Pritchard,0.0677,-0.0851,-0.02,40.0,7.0,40.0,-0.03
52,Precious Achiuwa,-0.0083,-0.0069,-0.02,38.0,58.0,57.0,-0.03
53,Robert Williams III,0.0,0.0704,0.07,8.0,33.0,3.0,-0.03
54,Romeo Langford,0.0702,-0.0304,0.04,19.0,6.0,54.0,-0.03
55,Scottie Barnes,-0.0346,0.0084,-0.03,42.0,52.0,23.0,-0.03
56,Seth Curry,0.052,-0.0054,0.05,15.0,10.0,58.0,-0.03
57,Shake Milton,0.0124,-0.0119,0.0,35.0,27.0,56.0,-0.03
58,Svi Mykhailiuk,-0.0381,-0.0001,-0.04,46.0,50.0,62.0,-0.03
59,Tobias Harris,-0.0474,-0.0717,-0.12,59.0,47.0,42.0,-0.03
60,Tyrese Maxey,-0.0026,0.0201,0.02,32.0,60.0,16.0,-0.03
61,Yuta Watanabe,-0.0464,0.056,0.01,34.0,48.0,5.0,-0.03
