,playerId,RAPM__Off,RAPM__Def,RAPM,RAPM_Rank,RAPM__Off_Rank,RAPM__Def_Rank,RAPM__intercept
0,Aaron Gordon,0.0053,0.0026,0.01,153.5,163.0,201.0,-0.0
1,Aaron Henry,-0.0094,0.0,-0.01,406.5,382.5,269.0,-0.0
2,Aaron Holiday,-0.0036,-0.0075,-0.01,419.0,478.5,423.5,-0.0
3,Aaron Nesmith,-0.0036,-0.0146,-0.02,476.0,478.5,340.5,-0.0
4,Aaron Wiggins,0.0189,-0.0128,0.01,179.0,20.5,355.0,-0.0
5,Abdel Nader,-0.004,-0.0168,-0.02,499.0,471.0,321.5,-0.0
6,Ade Murkey,0.0,0.0,0.0,269.0,264.0,269.0,-0.0
7,Admiral Schofield,0.0015,0.0102,0.01,108.0,223.0,93.0,-0.0
8,Al Horford,-0.0057,-0.0127,-0.02,478.5,438.0,356.5,-0.0
9,Alec Burks,-0.0077,0.0003,-0.01,383.5,408.5,246.0,-0.0
10,Aleem Ford,-0.0234,-0.0108,-0.03,532.0,285.0,374.5,-0.0
11,Aleksej Pokusevski,-0.0035,-0.0143,-0.02,473.0,483.0,343.0,-0.0
12,Alex Caruso,0.0094,0.0132,0.02,45.0,106.0,64.0,-0.0
13,Alex Len,-0.0085,0.0017,-0.01,375.5,393.0,219.0,-0.0
14,Alfonzo McKinnie,-0.0224,0.0004,-0.02,509.0,286.5,243.5,-0.0
15,Alize Johnson,-0.0262,-0.0152,-0.04,539.0,281.0,335.0,-0.0
16,Alperen Sengun,-0.0047,0.0021,-0.0,307.5,462.5,214.0,-0.0
17,Amir Coffey,0.002,0.0132,0.02,84.0,214.0,64.0,-0.0
18,Andre Drummond,0.0097,0.0047,0.01,88.0,101.5,165.0,-0.0
19,Andre Iguodala,-0.0133,-0.0151,-0.03,527.0,329.0,336.0,-0.0
20,Andrew Wiggins,0.0071,0.0033,0.01,125.5,135.0,190.5,-0.0
21,Anfernee Simons,0.004,-0.0078,-0.0,323.5,189.0,419.5,-0.0
22,Anthony Davis,0.0004,-0.0036,-0.0,314.0,242.0,478.5,-0.0
23,Anthony Edwards,-0.0247,0.0056,-0.02,488.5,284.0,155.5,-0.0
24,Anthony Gill,0.0036,-0.0181,-0.01,453.0,192.0,318.0,-0.0
25,Armoni Brooks,0.01,-0.0039,0.01,177.0,97.0,474.0,-0.0
26,Arnoldas Kulboka,0.0,-0.009,-0.01,401.0,264.0,397.5,-0.0
27,Austin Reaves,0.0191,0.0153,0.03,8.0,19.0,48.0,-0.0
28,Austin Rivers,0.0068,0.0056,0.01,102.0,141.0,155.5,-0.0
29,Avery Bradley,0.0035,-0.0087,-0.01,350.5,193.5,403.0,-0.0
30,Ayo Dosunmu,-0.0117,-0.0044,-0.02,462.5,349.5,466.0,-0.0
31,BJ Johnson,0.0069,-0.0164,-0.01,409.0,139.5,325.5,-0.0
32,Bam Adebayo,-0.0017,0.0083,0.01,172.0,513.0,111.5,-0.0
33,Ben McLemore,0.0108,-0.0082,0.0,228.0,84.0,411.0,-0.0
34,Blake Griffin,-0.0102,0.0032,-0.01,377.0,369.5,194.0,-0.0
35,Boban Marjanovic,0.011,0.0098,0.02,50.0,77.5,96.0,-0.0
36,Bobby Portis,-0.0119,-0.0096,-0.02,504.0,345.0,389.5,-0.0
37,Bogdan Bogdanovic,-0.0021,0.0136,0.01,111.0,508.5,60.0,-0.0
38,Bojan Bogdanovic,-0.0109,0.0118,0.0,253.5,358.5,76.5,-0.0
39,Bol Bol,-0.0058,0.0207,0.01,85.0,435.5,24.0,-0.0
40,Bones Hyland,0.0113,-0.0157,-0.0,336.0,71.0,332.0,-0.0
41,Brad Wanamaker,0.0007,-0.0163,-0.02,460.0,237.5,327.5,-0.0
42,Bradley Beal,0.0035,0.0033,0.01,167.0,193.5,190.5,-0.0
43,Brandon Boston Jr.,-0.0065,-0.0118,-0.02,477.0,424.0,364.0,-0.0
44,Brandon Clarke,0.0016,0.0034,0.0,194.5,221.0,186.0,-0.0
45,Brandon Goodwin,0.0085,0.0,0.01,141.0,117.0,269.0,-0.0
46,Brandon Ingram,0.0047,-0.0,0.0,201.0,173.0,542.0,-0.0
47,Brandon Knight,-0.0121,0.0009,-0.01,422.0,342.5,232.5,-0.0
48,Brodric Thomas,0.0005,-0.0193,-0.02,484.0,239.5,314.0,-0.0
49,Brook Lopez,0.0,-0.0067,-0.01,373.0,264.0,430.5,-0.0
50,Bruce Brown,0.0047,-0.0058,-0.0,279.0,173.0,445.0,-0.0
51,Bruno Fernando,-0.0111,-0.0238,-0.03,533.0,356.5,300.0,-0.0
52,Bryn Forbes,-0.0057,-0.0142,-0.02,494.0,438.0,345.0,-0.0
53,Buddy Hield,0.011,-0.011,0.0,269.0,77.5,372.5,-0.0
54,CJ Elleby,0.0099,-0.0252,-0.02,458.0,99.0,298.5,-0.0
55,CJ McCollum,-0.0183,0.006,-0.01,430.5,303.0,147.5,-0.0
56,CJ Miles,0.0,-0.0111,-0.01,420.5,264.0,370.5,-0.0
57,Cade Cunningham,-0.0002,0.0035,0.0,216.5,539.5,183.5,-0.0
58,Caleb Martin,0.0124,0.0092,0.02,47.0,60.5,103.0,-0.0
59,Cam Reddish,-0.025,0.0004,-0.02,517.0,283.0,243.5,-0.0
60,Cam Thomas,-0.0108,-0.0222,-0.03,531.0,360.5,304.5,-0.0
61,Cameron Johnson,0.0189,0.004,0.02,43.0,20.5,178.5,-0.0
62,Cameron Payne,-0.0091,0.0028,-0.01,366.0,386.0,196.5,-0.0
63,Caris LeVert,0.0014,0.0094,0.01,119.5,225.0,101.0,-0.0
64,Carlik Jones,0.0,0.0069,0.01,164.5,264.0,133.0,-0.0
65,Carmelo Anthony,-0.0116,0.0042,-0.01,382.0,351.0,174.5,-0.0
