"team1id","team1player1","team1player2","team1player3","team1player4","team1player5","team2id","team2player1","team2player2","team2player3","team2player4","team2player5","team1_points","team2_points","team1_turnovers","team2_turnovers","team1_rebounds","team2_rebounds","team1_blocks","team2_blocks","team1_steals","team2_steals","team1_fga","team2_fga","team1_fgm","team2_fgm","team1_3ptrsatt","team2_3ptrsatt","team1_3ptrsmade","team2_3ptrsmade","team1_fta","team2_fta","team1_ftmade","team2_ftmade","timeofpos"
"Atlanta Hawks","Bogdan Bogdanovic","Delon Wright","Kevin Huerter","De'Andre Hunter","Onyeka Okongwu","Boston Celtics","Al Horford","Derrick White","Grant Williams","Aaron Nesmith","Payton Pritchard",6,6,0,1,1,3,0,1,0,0,5,3,3,1,1,1,0,0,0,0,0,0,23
"Atlanta Hawks","Cam Reddish","Skylar Mays","Jalen Johnson","Lance Stephenson","Gorgui Dieng","Philadelphia 76ers","Furkan Korkmaz","Charles Bassey","Tyrese Maxey","Paul Reed","Tyler Johnson",2,2,0,0,2,1,0,0,0,0,3,2,1,1,2,0,0,0,0,0,0,0,26
"Atlanta Hawks","Cam Reddish","Skylar Mays","Jalen Johnson","Lance Stephenson","Gorgui Dieng","Philadelphia 76ers","Tyler Johnson","Charles Bassey","Tyrese Maxey","Paul Reed","Isaiah Joe",2,6,0,0,3,5,0,0,0,0,4,6,1,1,2,5,0,1,0,0,0,0,41
"Atlanta Hawks","Cat Barber","Skylar Mays","Jalen Johnson","Malcolm Hill","Gorgui Dieng","New York Knicks","RJ Barrett","Matt Mooney","Tyler Hall","Obi Toppin","Taj Gibson",5,2,2,1,2,0,0,0,1,0,2,3,2,1,1,2,1,0,0,0,0,0,5
"Atlanta Hawks","Clint Capela","Bogdan Bogdanovic","Delon Wright","John Collins","Cam Reddish","New York Knicks","Kemba Walker","Evan Fournier","Julius Randle","Mitchell Robinson","RJ Barrett",18,27,1,3,11,15,2,1,0,1,25,19,7,11,7,10,3,5,0,0,0,0,147
"Atlanta Hawks","Clint Capela","Bogdan Bogdanovic","John Collins","Trae Young","De'Andre Hunter","Brooklyn Nets","Kevin Durant","Blake Griffin","James Harden","Joe Harris","Bruce Brown",40,34,4,4,18,15,2,3,1,1,30,32,15,13,10,17,6,6,0,0,0,0,216
"Atlanta Hawks","Clint Capela","Bogdan Bogdanovic","John Collins","Trae Young","De'Andre Hunter","Philadelphia 76ers","Danny Green","Tobias Harris","Seth Curry","Joel Embiid","Tyrese Maxey",20,31,4,4,14,12,0,0,2,0,29,24,9,12,4,11,0,3,0,0,0,0,232
"Atlanta Hawks","Clint Capela","John Collins","Kevin Huerter","Trae Young","De'Andre Hunter","Toronto Raptors","Pascal Siakam","Fred VanVleet","O.G. Anunoby","Gary Trent Jr.","Scottie Barnes",22,25,1,1,9,5,0,0,0,0,21,16,11,11,5,4,0,2,0,0,0,0,114
"Atlanta Hawks","Clint Capela","Timothe Luwawu-Cabarrot","Kevin Huerter","Trae Young","De'Andre Hunter","Toronto Raptors","Khem Birch","Pascal Siakam","Fred VanVleet","Gary Trent Jr.","Scottie Barnes",37,37,2,2,10,17,0,1,2,0,28,27,17,13,7,9,3,3,0,0,0,0,205
"Atlanta Hawks","Danilo Gallinari","Bogdan Bogdanovic","Delon Wright","Kevin Huerter","Onyeka Okongwu","New York Knicks","Quentin Grimes","Immanuel Quickley","Miles McBride","Jericho Sims","Taj Gibson",5,6,0,0,1,1,0,0,0,0,2,3,1,2,1,3,1,2,0,0,0,0,14
