team1id,team1player1,team1player2,team1player3,team1player4,team1player5,team2id,team2player1,team2player2,team2player3,team2player4,team2player5,team1_points,team2_points,team1_turnovers,team2_turnovers,team1_rebounds,team2_rebounds,team1_blocks,team2_blocks,team1_steals,team2_steals,team1_fga,team2_fga,team1_fgm,team2_fgm,team1_3ptrsatt,team2_3ptrsatt,team1_3ptrsmade,team2_3ptrsmade,team1_fta,team2_fta,team1_ftmade,team2_ftmade,timeofpos
Atlanta Hawks,Cam Reddish,Skylar Mays,Jalen Johnson,Lance Stephenson,Gorgui Dieng,Philadelphia 76ers,Furkan Korkmaz,Charles Bassey,Tyrese Maxey,Paul Reed,Tyler Johnson,2,2,0,0,2,1,0,0,0,0,3,2,1,1,2,0,0,0,0,0,0,0,26
Atlanta Hawks,Cam Reddish,Skylar Mays,Jalen Johnson,Lance Stephenson,Gorgui Dieng,Philadelphia 76ers,Tyler Johnson,Charles Bassey,Tyrese Maxey,Paul Reed,Isaiah Joe,2,6,0,0,3,5,0,0,0,0,4,6,1,1,2,5,0,1,0,0,0,0,41
Atlanta Hawks,Cat Barber,Skylar Mays,Jalen Johnson,Malcolm Hill,Gorgui Dieng,New York Knicks,RJ Barrett,Matt Mooney,Tyler Hall,Obi Toppin,Taj Gibson,5,2,2,1,2,0,0,0,1,0,2,3,2,1,1,2,1,0,0,0,0,0,5
Atlanta Hawks,Clint Capela,Bogdan Bogdanovic,Delon Wright,John Collins,Cam Reddish,New York Knicks,Kemba Walker,Evan Fournier,Julius Randle,Mitchell Robinson,RJ Barrett,18,27,1,3,11,15,2,1,0,1,25,19,7,11,7,10,3,5,0,0,0,0,147
Atlanta Hawks,Clint Capela,Bogdan Bogdanovic,John Collins,Kevin Huerter,Trae Young,Memphis Grizzlies,Steven Adams,Dillon Brooks,Jaren Jackson Jr.,Ja Morant,Desmond Bane,12,13,1,0,6,5,0,1,0,0,9,15,5,6,1,2,0,0,0,0,0,0,89
Atlanta Hawks,Clint Capela,Bogdan Bogdanovic,John Collins,Kevin Huerter,Trae Young,Memphis Grizzlies,Steven Adams,Tyus Jones,Dillon Brooks,Jaren Jackson Jr.,Desmond Bane,19,4,1,3,4,3,0,0,0,0,9,7,7,0,2,2,2,0,0,0,0,0,80
Atlanta Hawks,Clint Capela,Bogdan Bogdanovic,John Collins,Kevin Huerter,Trae Young,Memphis Grizzlies,Tyus Jones,Dillon Brooks,Jaren Jackson Jr.,Desmond Bane,Kyle Anderson,4,0,0,0,2,1,0,0,0,0,2,3,2,0,0,3,0,0,0,0,0,0,12
Atlanta Hawks,Clint Capela,Bogdan Bogdanovic,John Collins,Kevin Huerter,Trae Young,Memphis Grizzlies,Tyus Jones,Jaren Jackson Jr.,De'Anthony Melton,Desmond Bane,Kyle Anderson,5,5,0,0,2,1,0,0,0,0,3,3,2,1,1,2,0,1,0,0,0,0,8
Atlanta Hawks,Clint Capela,Bogdan Bogdanovic,John Collins,Kevin Huerter,Trae Young,San Antonio Spurs,Dejounte Murray,Jakob Poeltl,Derrick White,Keita Bates-Diop,Keldon Johnson,19,17,0,3,7,11,0,1,0,1,15,18,6,7,6,6,2,2,0,0,0,0,119
Atlanta Hawks,Clint Capela,Bogdan Bogdanovic,John Collins,Kevin Huerter,Trae Young,San Antonio Spurs,Dejounte Murray,Jakob Poeltl,Derrick White,Keldon Johnson,Devin Vassell,7,6,2,0,4,3,0,1,1,0,7,7,3,2,2,3,1,1,0,0,0,0,88
Atlanta Hawks,Clint Capela,Bogdan Bogdanovic,John Collins,Trae Young,De'Andre Hunter,Brooklyn Nets,Kevin Durant,Blake Griffin,James Harden,Joe Harris,Bruce Brown,40,34,4,4,18,15,2,3,1,1,30,32,15,13,10,17,6,6,0,0,0,0,216
Atlanta Hawks,Clint Capela,Bogdan Bogdanovic,John Collins,Trae Young,De'Andre Hunter,Cleveland Cavaliers,Ricky Rubio,Lauri Markkanen,Jarrett Allen,Collin Sexton,Evan Mobley,6,8,2,4,6,7,2,1,0,2,12,9,3,3,3,1,0,0,0,0,0,0,146
Atlanta Hawks,Clint Capela,Bogdan Bogdanovic,John Collins,Trae Young,De'Andre Hunter,Golden State Warriors,Gary Payton II,Jordan Poole,Nemanja Bjelica,Draymond Green,Andrew Wiggins,3,3,0,0,0,1,0,0,0,0,1,3,1,1,1,1,1,1,0,0,0,0,9
Atlanta Hawks,Clint Capela,Bogdan Bogdanovic,John Collins,Trae Young,De'Andre Hunter,Golden State Warriors,Stephen Curry,Draymond Green,Andrew Wiggins,Kevon Looney,Jordan Poole,33,39,3,4,7,12,1,0,0,1,25,25,14,13,9,12,3,5,0,0,0,0,142
Atlanta Hawks,Clint Capela,Bogdan Bogdanovic,John Collins,Trae Young,De'Andre Hunter,New Orleans Pelicans,Brandon Ingram,Devonte' Graham,Nickeil Alexander-Walker,Garrett Temple,Jonas Valanciunas,0,0,1,0,3,1,0,0,0,0,3,1,0,0,2,1,0,0,0,0,0,0,36
Atlanta Hawks,Clint Capela,Bogdan Bogdanovic,John Collins,Trae Young,De'Andre Hunter,New Orleans Pelicans,Jonas Valanciunas,Brandon Ingram,Devonte' Graham,Nickeil Alexander-Walker,Herbert Jones,20,20,1,2,10,4,0,1,0,1,20,13,8,8,3,6,1,3,0,0,0,0,144
Atlanta Hawks,Clint Capela,Bogdan Bogdanovic,John Collins,Trae Young,De'Andre Hunter,Philadelphia 76ers,Danny Green,Tobias Harris,Seth Curry,Joel Embiid,Tyrese Maxey,20,31,4,4,14,12,0,0,2,0,29,24,9,12,4,11,0,3,0,0,0,0,232
Atlanta Hawks,Clint Capela,Bogdan Bogdanovic,John Collins,Trae Young,De'Andre Hunter,Phoenix Suns,Chris Paul,Frank Kaminsky,Devin Booker,Mikal Bridges,Jae Crowder,24,29,4,3,11,8,1,0,0,0,22,20,11,12,7,10,2,5,0,0,0,0,107
Atlanta Hawks,Clint Capela,Bogdan Bogdanovic,John Collins,Trae Young,De'Andre Hunter,Phoenix Suns,Chris Paul,JaVale McGee,Jae Crowder,Devin Booker,Mikal Bridges,11,7,0,0,5,5,0,1,0,0,7,9,3,3,2,5,2,1,0,0,0,0,89
Atlanta Hawks,Clint Capela,Bogdan Bogdanovic,John Collins,Trae Young,De'Andre Hunter,Washington Wizards,Bradley Beal,Kentavious Caldwell-Pope,Montrezl Harrell,Kyle Kuzma,Aaron Holiday,32,36,2,2,7,8,0,0,0,0,22,20,14,13,6,8,3,4,0,0,0,0,179
