"team1player1","team1player2","team1player3","team1player4","team1player5","team2player1","team2player2","team2player3","team2player4","team2player5","team1_points","team2_points","turnovers","timeofpos"
"Aaron Holiday","Anthony Gill","Bradley Beal","Kentavious Caldwell-Pope","Spencer Dinwiddie","Trey Lyles","Killian Hayes","Saddiq Bey","Cade Cunningham","Jerami Grant",0,0,0,0
"Aaron Holiday","Anthony Gill","Corey Kispert","Bradley Beal","Kentavious Caldwell-Pope","Cameron Payne","Landry Shamet","Cameron Johnson","Jalen Smith","Elfrid Payton",0,4,0,14
"Aaron Holiday","Daniel Gafford","Davis Bertans","Bradley Beal","Kentavious Caldwell-Pope","Monte Morris","Davon Reed","Facundo Campazzo","Jeff Green","Aaron Gordon",14,6,0,66
"Aaron Holiday","Daniel Gafford","Davis Bertans","Bradley Beal","Kentavious Caldwell-Pope","Monte Morris","Facundo Campazzo","Bones Hyland","Jeff Green","Aaron Gordon",5,2,0,9
"Aaron Holiday","Daniel Gafford","Davis Bertans","Bradley Beal","Kentavious Caldwell-Pope","Monte Morris","Zeke Nnaji","Facundo Campazzo","Jeff Green","Aaron Gordon",0,2,0,0
"Aaron Holiday","Daniel Gafford","Davis Bertans","Kentavious Caldwell-Pope","Spencer Dinwiddie","O.G. Anunoby","Svi Mykhailiuk","Gary Trent Jr.","Precious Achiuwa","Goran Dragic",2,5,0,0
"Aaron Holiday","Daniel Gafford","Deni Avdija","Anthony Gill","Spencer Dinwiddie","Jericho Sims","Kemba Walker","Alec Burks","Evan Fournier","Julius Randle",0,0,0,0
"Aaron Holiday","Daniel Gafford","Deni Avdija","Corey Kispert","Bradley Beal","Vlatko Cancar","Zeke Nnaji","Markus Howard","Facundo Campazzo","Bones Hyland",2,0,0,25
"Aaron Holiday","Daniel Gafford","Deni Avdija","Corey Kispert","Spencer Dinwiddie","Damyean Dotson","Mitchell Robinson","Kemba Walker","Alec Burks","Julius Randle",2,3,0,15
"Aaron Holiday","Daniel Gafford","Deni Avdija","Corey Kispert","Spencer Dinwiddie","Jericho Sims","Kemba Walker","Alec Burks","Evan Fournier","Julius Randle",2,0,0,0
"Aaron Holiday","Daniel Gafford","Deni Avdija","Davis Bertans","Bradley Beal","Maurice Harkless","Alex Len","De'Aaron Fox","Chimezie Metu","Tyrese Haliburton",0,0,0,0
"Aaron Holiday","Daniel Gafford","Deni Avdija","Davis Bertans","Bradley Beal","Tyrese Haliburton","Davion Mitchell","Tristan Thompson","Harrison Barnes","Maurice Harkless",2,2,0,4
"Aaron Holiday","Daniel Gafford","Deni Avdija","Davis Bertans","Raul Neto","Shai Gilgeous-Alexander","Kenrich Williams","Aleksej Pokusevski","Tre Mann","Derrick Favors",3,0,0,12
"Aaron Holiday","Daniel Gafford","Deni Avdija","Davis Bertans","Spencer Dinwiddie","Chris Boucher","Svi Mykhailiuk","Yuta Watanabe","Scottie Barnes","Dalano Banton",4,8,0,52
"Aaron Holiday","Daniel Gafford","Deni Avdija","Isaiah Todd","Corey Kispert","Bruce Brown","Kevin Durant","James Harden","Patty Mills","Joe Harris",2,2,0,0
"Aaron Holiday","Daniel Gafford","Deni Avdija","Isaiah Todd","Corey Kispert","DeAndre' Bembry","Bruce Brown","Jevon Carter","Day'Ron Sharpe","Cam Thomas",1,0,0,6
